Time(s), Setpoint, Measurement, Output, Kp, Zone, Mu
0.00, 80.00, 2.00, 400.00, 3.00, 1, 0.500
0.01, 80.00, 4.00, 400.00, 3.00, 1, 0.502
0.02, 80.00, 5.66, 333.14, 3.00, 1, 0.504
0.03, 80.00, 7.06, 281.98, 3.00, 1, 0.506
0.04, 79.99, 8.31, 250.54, 3.00, 1, 0.508
0.05, 79.99, 9.46, 230.81, 3.00, 1, 0.509
0.06, 79.99, 10.54, 218.07, 3.00, 1, 0.511
0.07, 79.98, 11.57, 209.48, 3.00, 1, 0.513
0.08, 79.97, 12.58, 203.37, 3.00, 1, 0.515
0.09, 79.97, 13.56, 198.75, 3.00, 1, 0.517
0.10, 79.96, 14.52, 195.03, 3.00, 1, 0.519
0.11, 79.95, 15.47, 191.85, 3.00, 1, 0.521
0.12, 79.94, 16.40, 189.00, 3.00, 1, 0.523
0.13, 79.93, 17.31, 186.37, 3.00, 1, 0.524
0.14, 79.92, 18.21, 183.88, 3.00, 1, 0.526
0.15, 79.91, 19.10, 181.48, 3.00, 1, 0.528
0.16, 79.90, 19.98, 179.14, 3.00, 1, 0.530
0.17, 79.89, 20.84, 176.86, 3.00, 1, 0.532
0.18, 79.87, 21.70, 174.62, 3.00, 1, 0.534
0.19, 79.86, 22.54, 172.41, 3.00, 1, 0.536
0.20, 79.84, 23.36, 170.23, 3.00, 1, 0.538
0.21, 79.83, 24.18, 168.09, 3.00, 1, 0.539
0.22, 79.81, 24.99, 165.97, 3.00, 1, 0.541
0.23, 79.79, 25.78, 163.88, 3.00, 1, 0.543
0.24, 79.77, 26.56, 161.82, 3.00, 1, 0.545
0.25, 79.75, 27.34, 159.78, 3.00, 1, 0.547
0.26, 79.73, 28.10, 157.77, 3.00, 1, 0.549
0.27, 79.71, 28.85, 155.79, 3.00, 1, 0.551
0.28, 79.69, 29.59, 153.82, 3.00, 1, 0.553
0.29, 79.67, 30.32, 151.89, 3.00, 1, 0.554
0.30, 79.65, 31.04, 149.97, 3.00, 1, 0.556
0.31, 79.62, 31.75, 148.08, 3.00, 1, 0.558
0.32, 79.60, 32.45, 146.22, 3.00, 1, 0.560
0.33, 79.57, 33.14, 144.37, 3.00, 1, 0.562
0.34, 79.55, 33.82, 142.55, 3.00, 1, 0.564
0.35, 79.52, 34.49, 140.75, 3.00, 1, 0.565
